"Longitude" "Latitude"
"85" 16.083 48.583
"86" 16.25 48.583
"87" 16.417 48.583
"88" 16.583 48.583
"89" 16.75 48.583
"90" 16.917 48.583
"91" 14.917 48.75
"92" 15.083 48.75
"93" 15.25 48.75
"94" 15.417 48.75
"95" 15.583 48.75
"96" 15.75 48.75
"97" 15.917 48.75
"98" 16.083 48.75
"99" 16.417 48.75
"100" 16.583 48.75
"101" 15.083 48.917
"102" 15.25 48.917
"103" 15.417 48.917
"104" 16.417 48.25
"105" 13.25 46.583
"106" 13.417 46.583
"107" 13.583 46.583
"108" 13.75 46.583
"109" 13.917 46.583
"110" 14.083 46.583
"111" 14.25 46.583
"112" 14.417 46.583
"113" 14.583 46.583
"114" 14.75 46.583
"115" 12.917 46.75
"116" 13.083 46.75
"117" 13.25 46.75
"118" 13.417 46.75
"119" 13.583 46.75
"120" 13.75 46.75
"121" 13.917 46.75
"122" 14.083 46.75
"123" 14.25 46.75
"124" 14.417 46.75
"125" 14.583 46.75
"126" 14.75 46.75
"127" 14.917 46.75
"128" 12.917 46.917
"129" 13.083 46.917
"130" 13.25 46.917
"131" 13.417 46.917
"132" 13.583 46.917
"133" 13.75 46.917
"134" 13.917 46.917
"135" 14.083 46.917
"136" 14.25 46.917
"137" 14.417 46.917
"138" 14.583 46.917
"139" 14.75 46.917
"140" 14.917 46.917
"141" 12.75 47.083
"142" 15.083 46.75
"143" 15.25 46.75
"144" 15.417 46.75
"145" 15.583 46.75
"146" 15.75 46.75
"147" 15.917 46.75
"148" 15.083 46.917
"149" 15.25 46.917
"150" 15.417 46.917
"151" 15.583 46.917
"152" 15.75 46.917
"153" 15.917 46.917
"154" 13.917 47.083
"155" 14.083 47.083
"156" 14.25 47.083
"157" 14.417 47.083
"158" 14.583 47.083
"159" 14.75 47.083
"160" 14.917 47.083
"161" 15.083 47.083
"162" 15.25 47.083
"163" 15.417 47.083
"164" 15.583 47.083
"165" 15.75 47.083
"166" 15.917 47.083
"167" 16.083 47.083
"168" 13.917 47.25
"169" 14.083 47.25
"170" 14.25 47.25
"171" 14.417 47.25
"172" 14.583 47.25
"173" 14.75 47.25
"174" 14.917 47.25
"175" 15.083 47.25
"176" 15.25 47.25
"177" 15.417 47.25
"178" 15.583 47.25
"179" 15.75 47.25
"180" 15.917 47.25
"181" 13.75 47.417
"182" 13.917 47.417
"183" 14.083 47.417
"184" 14.25 47.417
"185" 14.417 47.417
"186" 14.583 47.417
"187" 14.75 47.417
"188" 14.917 47.417
"189" 15.083 47.417
"190" 15.25 47.417
"191" 15.417 47.417
"192" 15.583 47.417
"193" 15.75 47.417
"194" 15.917 47.417
"195" 16.083 47.417
"196" 13.75 47.583
"197" 13.917 47.583
"198" 14.083 47.583
"199" 14.25 47.583
"200" 14.417 47.583
"201" 14.583 47.583
"202" 14.75 47.583
"203" 14.917 47.583
"204" 15.083 47.583
"205" 15.25 47.583
"206" 15.417 47.583
"207" 15.583 47.583
"208" 15.75 47.583
"209" 14.75 47.75
"210" 15.25 47.75
"211" 15.417 47.75
"212" 13.583 47.583
"213" 13.583 47.75
"214" 13.75 47.75
"215" 13.917 47.75
"216" 14.083 47.75
"217" 14.25 47.75
"218" 14.417 47.75
"219" 14.583 47.75
"220" 13.417 47.917
"221" 13.583 47.917
"222" 13.75 47.917
"223" 13.917 47.917
"224" 14.083 47.917
"225" 14.25 47.917
"226" 14.417 47.917
"227" 14.583 47.917
"228" 12.917 48.083
"229" 13.083 48.083
"230" 13.25 48.083
"231" 13.417 48.083
"232" 13.583 48.083
"233" 13.75 48.083
"234" 13.917 48.083
"235" 14.083 48.083
"236" 14.25 48.083
"237" 14.417 48.083
"238" 13.083 48.25
"239" 13.25 48.25
"240" 13.417 48.25
"241" 13.583 48.25
"242" 13.75 48.25
"243" 13.917 48.25
"244" 14.083 48.25
"245" 14.25 48.25
"246" 14.417 48.25
"247" 14.583 48.25
"248" 14.75 48.25
"249" 14.917 48.25
"250" 13.583 48.417
"251" 13.75 48.417
"252" 13.917 48.417
"253" 14.083 48.417
"254" 14.25 48.417
"255" 14.417 48.417
"256" 14.583 48.417
"257" 14.75 48.417
"258" 14.917 48.417
"259" 13.917 48.583
"260" 14.083 48.583
"261" 14.417 48.583
"262" 14.583 48.583
"263" 12.25 47.083
"264" 12.917 47.083
"265" 13.083 47.083
"266" 13.25 47.083
"267" 13.417 47.083
"268" 13.583 47.083
"269" 13.75 47.083
"270" 12.25 47.25
"271" 12.417 47.25
"272" 12.583 47.25
"273" 12.75 47.25
"274" 12.917 47.25
"275" 13.083 47.25
"276" 13.25 47.25
"277" 13.417 47.25
"278" 13.583 47.25
"279" 13.75 47.25
"280" 12.75 47.417
"281" 12.917 47.417
"282" 13.083 47.417
"283" 13.25 47.417
"284" 13.417 47.417
"285" 13.583 47.417
"286" 12.75 47.583
"287" 13.083 47.583
"288" 13.25 47.583
"289" 13.417 47.583
"290" 13.083 47.75
"291" 13.25 47.75
"292" 13.417 47.75
"293" 13.083 47.917
"294" 13.25 47.917
"295" 12.417 46.75
"296" 12.583 46.75
"297" 12.75 46.75
"298" 10.25 46.917
"299" 10.583 46.917
"300" 10.75 46.917
"301" 10.917 46.917
"302" 11.083 46.917
"303" 12.25 46.917
"304" 12.417 46.917
"305" 12.583 46.917
"306" 12.75 46.917
"307" 10.25 47.083
"308" 10.417 47.083
"309" 10.583 47.083
"310" 10.75 47.083
"311" 10.917 47.083
"312" 11.083 47.083
"313" 11.25 47.083
"314" 11.417 47.083
"315" 11.583 47.083
"316" 11.75 47.083
"317" 11.917 47.083
"318" 12.083 47.083
"319" 12.417 47.083
"320" 12.583 47.083
"321" 10.25 47.25
"322" 10.417 47.25
"323" 10.583 47.25
"324" 10.75 47.25
"325" 10.917 47.25
"326" 11.083 47.25
"327" 11.25 47.25
"328" 11.417 47.25
"329" 11.583 47.25
"330" 11.75 47.25
"331" 11.917 47.25
